Name,Price,Product URL,Image URL,Description
Buy Top 4 Die Hard Succulents Pack online from Nurserylive at lowest price.,"Original price ₹ 1,014 Original price ₹ 1,014 Original price ₹ 1,014 Current price ₹ 559 ₹ 559 Current price ₹ 559 | /",https://nurserylive.com/products/top-4-die-hard-succulents-pack#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-g-top-4-die-hard-succulents-pack-980804.jpg?v=1679751768,"Buy Top 4 Die Hard Succulents Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Top 4 Die Hard Succulents Pack
    Transform your indoor or outdoor space with our Top 4 Die Hard Succulents Pack, featuring a curated selection of r..."
Buy 4 inch (10.1 cm) Round Ceramic Pot (White) (set of 3) online from Nurserylive at lowest price.,Original price ₹ 499 Original price ₹ 499 Original price ₹ 499 Current price ₹ 399 ₹ 399 Current price ₹ 399 | /,https://nurserylive.com/collections/planters/products/4-inch-round-ceramic-pot-with-rim-white-with-rim,https://nurserylive.com/cdn/shop/products/nurserylive-planters-4-inch-10-1-cm-round-ceramic-pot-white-16968492351628.jpg?v=1634208330,"Buy 4 inch (10.1 cm) Round Ceramic Pot (White) (set of 3) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    4 Inch (10.1 cm) Round Ceramic Pot (White) - Set of 3
    Elevate your home decor with our exquisite set of 3 round ceramic po..."
Buy 6.5 inch (17 cm) Hexa No. 2 Plastic Planter (Terracotta Color) (set of 6) online from Nurserylive at lowest price.,Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 359 ₹ 359 Current price ₹ 359 | /,https://nurserylive.com/collections/planters/products/6-1-hexa-plastic-planter-no-2-terracotta-pack-of-three,https://nurserylive.com/cdn/shop/products/nurserylive-g-6-5-inch-17-cm-hexa-no-2-plastic-planter-terracotta-color-set-of-6.jpg?v=1634209958,"Buy 6.5 inch (17 cm) Hexa No. 2 Plastic Planter (Terracotta Color) (set of 6) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    6.5 inch (17 cm) Hexa No. 2 Plastic Planter (Terracotta Color) - Set of 6
    Elevate your gardening exper..."
"Buy Kapoor Tulsi Plant, Blue Basil, Ocimum kilimandscharicum (Green) - Plant online from Nurserylive at lowest price.",Original price ₹ 349 Original price ₹ 349 Original price ₹ 349 Current price ₹ 249 ₹ 249 Current price ₹ 249 | /,https://nurserylive.com/products/kapoor-tulsi-plant-blue-basil-ocimum-kilimandscharicum-green-plant#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-kapoor-tulsi-plant-blue-basil-ocimum-kilimandscharicum-green-plant.jpg?v=1634222980,"Buy Kapoor Tulsi Plant, Blue Basil, Ocimum kilimandscharicum (Green) - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Kapoor Tulsi Plant, Blue Basil, Ocimum kilimandscharicum (Green)
    The Kapoor Tulsi Plant, also known as ..."
Buy Set of 2 Bonsai Looking Grafted Adeniums online from Nurserylive at lowest price.,Original price ₹ 998 Original price ₹ 998 Original price ₹ 998 Current price ₹ 759 ₹ 759 Current price ₹ 759 | /,https://nurserylive.com/products/set-of-2-bonsai-looking-grafted-adeniums#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/set-of-2-bonsai-looking-grafted-adeniums-3-319479.jpg?v=1680589599,"Buy Set of 2 Bonsai Looking Grafted Adeniums and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Set of 2 Bonsai Looking Grafted Adeniums
    Transform your indoor or outdoor space with our exquisite Set of 2 Bonsai Looking Grafted Aden..."
Buy 12 inch (30 cm) Rectangle Glass Vase online from Nurserylive at lowest price.,Original price ₹ 469 Original price ₹ 469 Original price ₹ 469 Current price ₹ 399 ₹ 399 Current price ₹ 399 | /,https://nurserylive.com/collections/planters/products/12-inch-rectangle-glass-vase,https://nurserylive.com/cdn/shop/products/nurserylive-planters-12-inch-30-cm-rectangle-glass-vase-16968404795532.jpg?v=1634206090,"Buy 12 inch (30 cm) Rectangle Glass Vase and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    12 Inch (30 cm) Rectangle Glass Vase
    Elevate your home decor with our stunning 12 inch (30 cm) Rectangle Glass Vase. Crafted from high-qual..."
Buy Syngonium (Pink) - Plant online from Nurserylive at lowest price.,Original price ₹ 249 Original price ₹ 249 Original price ₹ 249 Current price ₹ 199 ₹ 199 Current price ₹ 199 | /,https://nurserylive.com/products/syngonium-pink-plant#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-in-4-inch-10-cm-black-pot-188185.jpg?v=1751717588,"Buy Syngonium (Pink) - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Syngonium (Pink) - Plant
The Syngonium (Pink), also known as the Pink Arrowhead Plant, is a stunning tropical houseplant that captivates with its vibrant pink ..."
Buy Vermicompost - 1 kg (Set of 2) online from Nurserylive at lowest price.,Original price ₹ 200 Original price ₹ 200 Original price ₹ 200 Current price ₹ 179 ₹ 179 Current price ₹ 179 | /,https://nurserylive.com/products/vermicompost-1-kg-for-garden#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-soil-and-fertilizers-vermicompost-1-kg-set-of-2-995020.jpg?v=1680589608,"Buy Vermicompost - 1 kg (Set of 2) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Vermicompost - 1 kg (Set of 2)
    Enhance your gardening experience with our premium Vermicompost, available in a convenient set of two 1 kg bags. T..."
Buy 4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter online from Nurserylive at lowest price.,Original price ₹ 299 Original price ₹ 259 Original price ₹ 299 Current price ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/products/4-5-inch-11-cm-ronda-no-1110-round-plastic-planter#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-4-5-inch-11-cm-ronda-no-1110-round-plastic-planter-set-of-6-white.jpg?v=1687863829,"Buy 4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter
    The Ronda No. 1110 Round Plastic Planter is the perfect blend of sty..."
"Buy Jasminum sambac, Mogra, Arabian Jasmine - Plant online from Nurserylive at lowest price.",Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/products/jasminum-sambac-mogra-plant#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-g-jasminum-sambac-mogra-arabian-jasmine.jpg?v=1634222612,"Buy Jasminum sambac, Mogra, Arabian Jasmine - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Jasminum sambac, Mogra, Arabian Jasmine - Plant
    Jasminum sambac, commonly known as Mogra or Arabian Jasmine, is a fragrant flowe..."
