Name,Price,Product URL,Image URL,Description
Buy 5 Best Fragrant Plants online from Nurserylive at lowest price.,"Original price ₹ 2,142 Original price ₹ 2,142 Original price ₹ 2,142 Current price ₹ 1,499 ₹ 1,499 Current price ₹ 1,499 | /",https://nurserylive.com/collections/flowering-plants/products/5-best-fragrant-plants,https://nurserylive.com/cdn/shop/files/nurserylive-combo-packs-plants-5-best-fragrant-plants-16968509653132.jpg?v=1752425892,"Buy 5 Best Fragrant Plants and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
5 Best Fragrant Plants
Transform your garden or indoor space into a fragrant paradise with our curated selection of the 5 Best Fragrant Plants. This unique colle..."
Buy 5 Best Indoor Plants Pack online from Nurserylive at lowest price.,"Original price ₹ 1,905 Original price ₹ 1,905 Original price ₹ 1,905 Current price ₹ 1,334 ₹ 1,334 Current price ₹ 1,334 | /",https://nurserylive.com/collections/flowering-plants/products/5-best-indoor-plants-pack,https://nurserylive.com/cdn/shop/files/ChatGPTImageJul19_2025_05_09_54PM.jpg?v=1753045482,"Buy 5 Best Indoor Plants Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
5 Best Indoor Plants Pack
Transform your living space into a lush oasis with our '5 Best Indoor Plants Pack.' This carefully curated collection features five ..."
"Buy Jasminum sambac, Mogra, Arabian Jasmine Plant in 5 inch Pot online from Nurserylive at lowest price.",Original price ₹ 299 Original price ₹ 299 Original price ₹ 299 Current price ₹ 249 ₹ 249 Current price ₹ 249 | /,https://nurserylive.com/collections/flowering-plants/products/beautiful-fragrant-mogra-arabian-jasmine-plant-with-pot,https://nurserylive.com/cdn/shop/files/nurserylive-g-jasminum-sambac-mogra-arabian-jasmine.jpg?v=1751599547,"Buy Jasminum sambac, Mogra, Arabian Jasmine Plant in 5 inch Pot and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Beautiful Fragrant Mogra, Arabian Jasmine Plant with Pot
    The Beautiful Fragrant Mogra, also known as Arabian Jasmine..."
Buy Best 6 Plants for Perfect Indoor Garden online from Nurserylive at lowest price.,"Original price ₹ 1,739 Original price ₹ 1,739 Original price ₹ 1,739 Current price ₹ 1,130 ₹ 1,130 Current price ₹ 1,130 | /",https://nurserylive.com/collections/flowering-plants/products/best-6-plants-for-perfect-indoor-garden,https://nurserylive.com/cdn/shop/files/nurserylive-g-best-6-plants-for-perfect-indoor-garden-399356.jpg?v=1752564579,Buy Best 6 Plants for Perfect Indoor Garden and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices.     Best 6 Plants for Perfect Indoor Garden    Transform your living space into a lush oasis with our curated collection of the Best 6 Plants for...
"Buy Citronella, Odomas - Plant online from Nurserylive at lowest price.",Original price ₹ 298 Original price ₹ 298 Original price ₹ 298 Current price ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/flowering-plants/products/citronella-odomas-plant,https://nurserylive.com/cdn/shop/products/nurserylive-g-plants-citronella-odomas-plant-in-grower-round-black-pot-819019.jpg?v=1679749533,"Buy Citronella, Odomas - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Citronella, Odomas - Plant
    The Citronella plant, scientifically known as Cymbopogon nardus, is a tropical grass renowned for its aromatic leaves and ..."
"Buy Damascus Rose, Scented Rose (Any Color) - Plant online from Nurserylive at lowest price.",Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/flowering-plants/products/damascus-rose-scented-rose-any-color-plant,https://nurserylive.com/cdn/shop/products/nurserylive-damascus-rose-scented-rose-any-color-plant.jpg?v=1634217615,"Buy Damascus Rose, Scented Rose (Any Color) - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Damascus Rose, Scented Rose (Any Color) - Plant
    The Damascus Rose, also known as Rosa damascena, is a timeless symbol of beauty ..."
"Buy Jasminum sambac, Mogra, Arabian Jasmine - Plant online from Nurserylive at lowest price.",Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/flowering-plants/products/jasminum-sambac-mogra-plant,https://nurserylive.com/cdn/shop/products/nurserylive-g-jasminum-sambac-mogra-arabian-jasmine.jpg?v=1634222612,"Buy Jasminum sambac, Mogra, Arabian Jasmine - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Jasminum sambac, Mogra, Arabian Jasmine - Plant
    Jasminum sambac, commonly known as Mogra or Arabian Jasmine, is a fragrant flowe..."
Buy Mini Succulent Garden Pack online from Nurserylive at lowest price.,Original price ₹ 829 Original price ₹ 829 Original price ₹ 829 Current price ₹ 499 ₹ 499 Current price ₹ 499 | /,https://nurserylive.com/collections/flowering-plants/products/mini-succulent-garden-pack,https://nurserylive.com/cdn/shop/products/succulents-mix-4-600x600-466057.jpg?v=1685021422,"Buy Mini Succulent Garden Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. Mini Succulent Garden Pack
Transform your space with our Mini Succulent Garden Pack, featuring a delightful collection of 4 any variety beautiful succulents. ..."
"Buy Miniature Rose, Button Rose (Any Color) - Plant online from Nurserylive at lowest price.",Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/flowering-plants/products/miniature-rose-button-rose-any-color-plant,https://nurserylive.com/cdn/shop/files/miniature-rose-pink_af4e62e8-27e9-4f8c-98d6-9ce07342ce9d.jpg?v=1752562400,"Buy Miniature Rose, Button Rose (Any Color) - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Miniature Rose, Button Rose (Any Color) - Plant
The Miniature Rose, also known as the Button Rose, is a charming and compact flowering p..."
"Buy Money Plant, Scindapsus ( Pack of 3) - Plant online from Nurserylive at lowest price.",Original price ₹ 947 Original price ₹ 947 Original price ₹ 947 Current price ₹ 758 ₹ 758 Current price ₹ 758 | /,https://nurserylive.com/collections/flowering-plants/products/money-plant-scindapsus-pack-of-3-plant,https://nurserylive.com/cdn/shop/files/predict-3dfb876f-1478-4d4e-96dc-34c04c771ced-1.webp?v=1763573030,"Buy Money Plant, Scindapsus ( Pack of 3) - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Money Plant, Scindapsus (Pack of 3) - Plant
Transform your indoor space with our Money Plant, Scindapsus pack, featuring three stunning var..."
