Name,Price,Product URL,Image URL,Description
"Buy Plant O Boost (Special Flower Booster, 10 g) (set of 10) online from Nurserylive at lowest price.",Original price ₹ 300 Original price ₹ 300 Original price ₹ 300 Current price ₹ 239 ₹ 239 Current price ₹ 239 | /,https://nurserylive.com/products/plant-o-boost-special-flower-booster-10-gm-seeds#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-seeds-plant-o-boost-special-flower-booster-10-g-16969206399116.jpg?v=1634226259,"Buy Plant O Boost (Special Flower Booster, 10 g) (set of 10) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Plant O Boost (Special Flower Booster, 10 g) - Set of 10
    Unlock the full potential of your garden with Plant O Boost, a..."
Buy Alocasia for Sagittarius or Dhanu Rashi - Plant online from Nurserylive at lowest price.,Original price ₹ 554 Original price ₹ 554 Original price ₹ 554 Current price ₹ 499 ₹ 499 Current price ₹ 499 | /,https://nurserylive.com/products/alocasia-for-sagittarius-or-dhanu-rashi-plant#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-gifts-alocasia-for-sagittarius-or-dhanu-rashi-plant-16968584102028.jpg?v=1634213077,"Buy Alocasia for Sagittarius or Dhanu Rashi - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Alocasia for Sagittarius (Dhanu Rashi) - Plant
    The Alocasia plant, known for its striking foliage and unique shape, is the perfe..."
Buy 4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter online from Nurserylive at lowest price.,Original price ₹ 299 Original price ₹ 259 Original price ₹ 299 Current price ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/products/4-5-inch-11-cm-ronda-no-1110-round-plastic-planter#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-4-5-inch-11-cm-ronda-no-1110-round-plastic-planter-set-of-6-white.jpg?v=1687863829,"Buy 4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter
    The Ronda No. 1110 Round Plastic Planter is the perfect blend of sty..."
"Buy Super Marble Pebbles (White, Small, Polished) - 1 kg online from Nurserylive at lowest price.",Original price ₹ 249 Original price ₹ 249 Original price ₹ 249 Current price ₹ 199 ₹ 199 Current price ₹ 199 | /,https://nurserylive.com/products/super-marble-pebbles-small-white#judgeme_product_reviews,https://nurserylive.com/cdn/shop/products/nurserylive-pebbles-super-marble-pebbles-white-small-polished-1-kg-16969360015500.jpg?v=1634229532,"Buy Super Marble Pebbles (White, Small, Polished) - 1 kg and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Super Marble Pebbles (White, Small, Polished) - 1 kg
    Transform your space with our Super Marble Pebbles, a stunning collect..."
Buy Top 4 Plants to Bring Goodluck and Prosperity online from Nurserylive at lowest price.,"Original price ₹ 1,329 Original price ₹ 1,329 Original price ₹ 1,329 Current price ₹ 997 ₹ 997 Current price ₹ 997 | /",https://nurserylive.com/collections/outdoor-plants/products/top-4-plants-to-bring-goodluck-and-prosperity,https://nurserylive.com/cdn/shop/files/predict-1d3682fc-c203-4855-a4a9-cc349befc557-1.webp?v=1763573021,Buy Top 4 Plants to Bring Goodluck and Prosperity and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices.     Top 4 Plants to Bring Good Luck and Prosperity    Transform your living space into a sanctuary of positivity and abundance with our 'To...
"Buy Raat Ki Rani, Raat Rani, Night Blooming Jasmine - Plant online from Nurserylive at lowest price.",Original price ₹ 399 Original price ₹ 399 Original price ₹ 399 Current price ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/outdoor-plants/products/raat-ki-rani-raat-rani-night-blooming-jasmine-plant,https://nurserylive.com/cdn/shop/products/nurserylive-raat-ki-rani-raat-rani-night-blooming-jasmine-plant.jpg?v=1634227212,"Buy Raat Ki Rani, Raat Rani, Night Blooming Jasmine - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Raat Ki Rani (*Cestrum nocturnum*), also known as Night Blooming Jasmine, is a fragrant shrub native to the Caribbean and Centra..."
"Buy Philodendron Broken Heart, Monstera adansonii - Plant online from Nurserylive at lowest price.",Original price ₹ 349 Original price ₹ 299 Original price ₹ 349 Current price ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/products/philodendron-broken-heart-monstera-adansonii-plant#judgeme_product_reviews,https://nurserylive.com/cdn/shop/files/monstera-plant-5.jpg?v=1688034787,"Buy Philodendron Broken Heart, Monstera adansonii - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Philodendron Broken Heart, Monstera adansonii - Plant
    The Philodendron Broken Heart, scientifically known as Monstera adan..."
"Buy Peace Lily, Spathiphyllum - Plant online from Nurserylive at lowest price.",Original price ₹ 249 Original price ₹ 249 Original price ₹ 249 Current price ₹ 199 ₹ 199 Current price ₹ 199 | /,https://nurserylive.com/collections/outdoor-plants/products/peace-lily-spathiphyllum-plant,https://nurserylive.com/cdn/shop/products/nurserylive-peace-lily-spathiphyllum-plant-in-4-inch-10-cm-black-pot-230563.jpg?v=1751715660,"Buy Peace Lily, Spathiphyllum - Plant and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Peace Lily, Spathiphyllum - Plant
The Peace Lily, scientifically known as Spathiphyllum, is a stunning houseplant celebrated for its elegant white blo..."
Buy Set of 2 Mesmerising Flower Plants online from Nurserylive at lowest price.,Original price ₹ 748 Original price ₹ 748 Original price ₹ 748 Current price ₹ 598 ₹ 598 Current price ₹ 598 | /,https://nurserylive.com/collections/outdoor-plants/products/set-of-2-mesmerising-flower-plants-1,https://nurserylive.com/cdn/shop/files/predict-657653ae-9a52-4359-b1a1-b10bc756f3ac-1.webp?v=1763573021,"Buy Set of 2 Mesmerising Flower Plants and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Set of 2 Mesmerising Flower Plants
Transform your living space with our Set of 2 Mesmerising Flower Plants. These stunning plants not only add a spla..."
Buy Top 5 Plants to Bring Goodluck online from Nurserylive at lowest price.,"Original price ₹ 2,045 Original price ₹ 2,045 Original price ₹ 2,045 Current price ₹ 1,432 ₹ 1,432 Current price ₹ 1,432 | /",https://nurserylive.com/collections/outdoor-plants/products/top-5-plants-to-bring-goodluck,https://nurserylive.com/cdn/shop/files/nurserylive-combo-packs-plants-top-5-plants-to-bring-goodluck-16969392128140.jpg?v=1753376421,"Buy Top 5 Plants to Bring Goodluck and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Top 5 Plants to Bring Good Luck
Transform your living space into a sanctuary of positivity and prosperity with our 'Top 5 Plants to Bring Good Luck' coll..."
"Buy Jasminum sambac, Mogra, Arabian Jasmine Plant in 5 inch Pot online from Nurserylive at lowest price.",Original price ₹ 299 Original price ₹ 299 Original price ₹ 299 Current price ₹ 249 ₹ 249 Current price ₹ 249 | /,https://nurserylive.com/collections/outdoor-plants/products/beautiful-fragrant-mogra-arabian-jasmine-plant-with-pot,https://nurserylive.com/cdn/shop/files/nurserylive-g-jasminum-sambac-mogra-arabian-jasmine.jpg?v=1751599547,"Buy Jasminum sambac, Mogra, Arabian Jasmine Plant in 5 inch Pot and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Beautiful Fragrant Mogra, Arabian Jasmine Plant with Pot
    The Beautiful Fragrant Mogra, also known as Arabian Jasmine..."
